hwt6
Partitioned - Decimal
     0: 000000 0
     1: 000010 3
     2: 000020 6
     3: 000100 9
     4: 001100 36
     5: 001200 45
     6: 000200 18
     7: 002100 63
     8: 002200 72
     9: 001000 27
    10: 010100 90
    11: 010200 99
    12: 011000 108
    13: 111000 351
    14: 112000 378
    15: 012000 135
    16: 121000 432
    17: 122000 459
    18: 002000 54
    19: 020100 171
    20: 020200 180
    21: 021000 189
    22: 211000 594
    23: 212000 621
    24: 022000 216
    25: 221000 675
    26: 222000 702
    27: 010000 81
    28: 100100 252
    29: 100200 261
    30: 101000 270
    31: 011001 109
    32: 012001 136
    33: 102000 297
    34: 021001 190
    35: 022001 217
    36: 110000 324
    37: 101001 271
    38: 102001 298
    39: 110001 325
    40: 110011 328
    41: 120011 409
    42: 120001 406
    43: 210011 571
    44: 220011 652
    45: 120000 405
    46: 201001 514
    47: 202001 541
    48: 210001 568
    49: 110012 329
    50: 120012 410
    51: 220001 649
    52: 210012 572
    53: 220012 653
    54: 020000 162
    55: 200100 495
    56: 200200 504
    57: 201000 513
    58: 011002 110
    59: 012002 137
    60: 202000 540
    61: 021002 191
    62: 022002 218
    63: 210000 567
    64: 101002 272
    65: 102002 299
    66: 110002 326
    67: 110021 331
    68: 120021 412
    69: 120002 407
    70: 210021 574
    71: 220021 655
    72: 220000 648
    73: 201002 515
    74: 202002 542
    75: 210002 569
    76: 110022 332
    77: 120022 413
    78: 220002 650
    79: 210022 575
    80: 220022 656
    81: 100000 243
    82: 000101 10
    83: 000201 19
    84: 001001 28
    85: 011010 111
    86: 012010 138
    87: 002001 55
    88: 021010 192
    89: 022010 219
    90: 010001 82
    91: 101010 273
    92: 102010 300
    93: 110010 327
    94: 110101 334
    95: 120101 415
    96: 120010 408
    97: 210101 577
    98: 220101 658
    99: 020001 163
   100: 201010 516
   101: 202010 543
   102: 210010 570
   103: 110102 335
   104: 120102 416
   105: 220010 651
   106: 210102 578
   107: 220102 659
   108: 100001 244
   109: 001011 31
   110: 002011 58
   111: 010011 85
   112: 110110 336
   113: 120110 417
   114: 020011 166
   115: 210110 579
   116: 220110 660
   117: 100011 247
   118: 010111 94
   119: 020111 175
   120: 100111 256
   121: 101111 283
   122: 201111 526
   123: 200111 499
   124: 101112 284
   125: 201112 527
   126: 200011 490
   127: 010112 95
   128: 020112 176
   129: 100112 257
   130: 101121 286
   131: 201121 529
   132: 200112 500
   133: 101122 287
   134: 201122 530
   135: 200001 487
   136: 001012 32
   137: 002012 59
   138: 010012 86
   139: 110120 339
   140: 120120 420
   141: 020012 167
   142: 210120 582
   143: 220120 663
   144: 100012 248
   145: 010121 97
   146: 020121 178
   147: 100121 259
   148: 101211 292
   149: 201211 535
   150: 200121 502
   151: 101212 293
   152: 201212 536
   153: 200012 491
   154: 010122 98
   155: 020122 179
   156: 100122 260
   157: 101221 295
   158: 201221 538
   159: 200122 503
   160: 101222 296
   161: 201222 539
   162: 200000 486
   163: 000102 11
   164: 000202 20
   165: 001002 29
   166: 011020 114
   167: 012020 141
   168: 002002 56
   169: 021020 195
   170: 022020 222
   171: 010002 83
   172: 101020 276
   173: 102020 303
   174: 110020 330
   175: 110201 343
   176: 120201 424
   177: 120020 411
   178: 210201 586
   179: 220201 667
   180: 020002 164
   181: 201020 519
   182: 202020 546
   183: 210020 573
   184: 110202 344
   185: 120202 425
